time,rgb_depth_dt,u,v,depth_center
1773359538.18564,0.11843252182006836,515,502,1185.0
1773359538.2483187,0.11841869354248047,515,503,1185.0
1773359538.3038602,0.1184079647064209,515,502,1185.0
1773359538.364622,0.11839008331298828,515,502,1185.0
1773359538.420877,0.11838340759277344,515,502,1185.0
1773359538.4787872,0.11836361885070801,515,503,1185.0
1773359538.5349333,0.11835575103759766,515,502,1185.0
1773359538.5499365,0.11834359169006348,515,502,1185.0
1773359538.6040947,0.08499550819396973,515,502,1185.0
1773359538.6621141,0.11831188201904297,515,502,1162.0
1773359538.7753649,0.11829757690429688,515,502,1185.0
1773359538.8070538,0.08494734764099121,515,502,1185.0
1773359538.8998773,0.05160260200500488,515,503,1185.0
1773359538.9566553,0.08491969108581543,515,502,1185.0
1773359539.0887728,0.11823606491088867,514,505,1185.0
1773359539.1994927,0.11822223663330078,475,501,1185.0
1773359539.3072088,0.11821365356445312,438,502,1185.0
1773359539.4572833,0.11819887161254883,400,502,1209.0
1773359539.5376048,0.11818456649780273,364,502,1185.0
1773359539.5951374,0.11816716194152832,330,503,1185.0
1773359539.7311628,0.051488637924194336,292,504,1185.0
1773359539.764789,0.11814451217651367,258,505,1185.0
1773359539.9008791,0.11812829971313477,220,502,1185.0
1773359539.9916592,0.11811518669128418,182,504,1162.0
1773359540.0805707,0.11818575859069824,147,511,1162.0
1773359540.2196894,0.1180884838104248,119,513,1162.0
1773359540.2759087,0.11807513236999512,96,513,1140.0
1773359540.3604157,0.11805987358093262,83,513,1140.0
1773359540.5436985,0.1180272102355957,93,511,1162.0
1773359540.6697507,0.11801385879516602,115,513,1162.0
1773359540.7991288,0.11800241470336914,143,509,1162.0
1773359540.8422072,0.11797785758972168,177,509,1162.0
1773359540.93862,0.11797213554382324,221,504,1185.0
1773359541.0942361,0.11795663833618164,271,502,1209.0
1773359541.1585104,0.08461189270019531,331,502,1209.0
1773359541.254061,0.1179342269897461,388,502,1233.0
1773359541.3353648,0.1179189682006836,423,503,1185.0
1773359541.4252183,0.11790037155151367,434,504,1185.0
1773359541.518747,0.11788606643676758,507,503,0.0
1773359541.703154,0.11787724494934082,552,503,1185.0
1773359541.7560186,0.11786317825317383,588,503,1162.0
1773359541.8181803,0.1178431510925293,611,506,1162.0
1773359541.9475207,0.11783051490783691,626,507,1162.0
1773359542.0800078,0.11781883239746094,640,507,1140.0
1773359542.1660523,0.11780595779418945,645,505,1140.0
1773359542.2575436,0.11778640747070312,630,507,1140.0
1773359542.3989637,0.08444333076477051,616,506,1140.0
1773359542.4961174,0.11776447296142578,587,504,1162.0
1773359542.6006424,0.1177511215209961,549,503,1162.0
1773359542.6914222,0.11773800849914551,491,503,1162.0
1773359542.7825418,0.11772346496582031,433,504,1185.0
1773359542.873512,0.11770105361938477,370,501,1185.0
1773359542.9695773,0.1176910400390625,310,500,1185.0
1773359543.095632,0.11767411231994629,242,504,1209.0
1773359543.1863196,0.11766767501831055,177,509,1185.0
1773359543.2789187,0.11765289306640625,115,513,1162.0
1773359543.3202858,0.11763954162597656,78,509,1140.0
1773359543.4500964,0.11762642860412598,52,519,1140.0
1773359543.540304,0.11760783195495605,31,510,1140.0
1773359544.0315158,0.11753606796264648,31,510,1474.0
1773359544.2505379,0.11750674247741699,90,512,1185.0
1773359544.4344904,0.11748027801513672,226,503,1233.0
1773359544.5250654,0.11746764183044434,275,506,1185.0
1773359544.6603117,0.11744904518127441,268,505,1185.0
1773359544.7507093,0.11744236946105957,268,503,1185.0
1773359544.838939,0.11742544174194336,268,503,1209.0
1773359544.9439092,0.11740970611572266,282,504,1185.0
1773359545.0737329,0.11739349365234375,279,506,1185.0
1773359545.168598,0.1173863410949707,303,501,1209.0
1773359545.2441304,0.11737203598022461,355,502,1209.0
1773359545.3297288,0.11739420890808105,356,501,1185.0
1773359545.47729,0.1173393726348877,382,499,1209.0
1773359545.5644844,0.11733031272888184,407,501,1185.0
1773359545.6697543,0.11731624603271484,431,502,1185.0
1773359545.7496939,0.11730599403381348,456,502,1185.0
1773359545.839864,0.11728429794311523,484,501,1185.0
1773359545.9981918,0.0839383602142334,511,504,1185.0
1773359546.098299,0.11725926399230957,535,503,1185.0
1773359546.1952772,0.11724376678466797,545,503,1185.0
1773359546.2964628,0.11722731590270996,541,504,1162.0
1773359546.4443157,0.08388304710388184,529,502,1162.0
1773359546.5488493,0.1172029972076416,502,503,1162.0
1773359546.6238582,0.11719059944152832,478,504,1185.0
1773359546.6706014,0.1171715259552002,452,502,1185.0
1773359546.8154202,0.1171579360961914,422,502,1185.0
1773359546.8970816,0.11714911460876465,389,502,1185.0
1773359546.9850826,0.11713099479675293,352,501,1185.0
1773359547.0646544,0.11711883544921875,308,501,1185.0
1773359547.1537066,0.11710643768310547,265,502,1185.0
1773359547.2485423,0.11709046363830566,224,503,1185.0
1773359547.3492115,0.11707401275634766,182,510,1185.0
1773359547.4458206,0.11705899238586426,149,512,1162.0
1773359547.5992177,0.08371353149414062,126,514,1162.0
1773359547.6924965,0.1170346736907959,99,514,1140.0
1773359547.7821147,0.1170198917388916,86,512,1140.0
1773359547.8602684,0.11700201034545898,72,513,1140.0
1773359547.9956427,0.05032086372375488,81,511,1162.0
1773359548.0277762,0.11697983741760254,94,513,1162.0
1773359548.1770868,0.11696720123291016,121,514,1162.0
1773359548.253083,0.11691617965698242,160,506,1162.0
1773359548.2993612,0.11690187454223633,208,504,1185.0
1773359548.4344194,0.11692380905151367,258,503,1185.0
1773359548.532254,0.11690664291381836,311,502,1209.0
1773359548.6250336,0.11689114570617676,370,501,1209.0
1773359548.7524111,0.11687541007995605,434,502,1233.0
1773359548.8463044,0.11686897277832031,495,503,1209.0
1773359548.9506085,0.11684799194335938,554,503,1209.0
1773359549.0544374,0.08350539207458496,607,506,1162.0
1773359549.3954883,0.11679911613464355,656,507,1162.0
1773359549.4924114,0.11677861213684082,667,510,1140.0
1773359549.9160745,0.1167294979095459,605,505,1140.0
1773359550.001466,0.1167142391204834,546,505,1162.0
1773359550.0452805,0.1166999340057373,511,503,1162.0
1773359550.1549973,0.11668634414672852,520,504,1185.0
1773359550.2519784,0.14999723434448242,519,502,1162.0
1773359550.43814,0.11665606498718262,450,500,1185.0
1773359550.5073144,0.11664128303527832,375,501,1439.0
1773359550.6072602,0.11662578582763672,330,503,1185.0
1773359550.710939,0.14994454383850098,333,501,1209.0
1773359550.800975,0.149932861328125,332,501,1209.0
1773359550.8972855,0.14991378784179688,274,503,1185.0
1773359550.997368,0.11657428741455078,240,506,1185.0
1773359551.0306094,0.1498863697052002,210,506,1185.0
1773359551.161844,0.1498713493347168,172,509,1162.0
1773359551.2481158,0.11653256416320801,132,509,1162.0
1773359551.338995,0.14984583854675293,99,514,1162.0
1773359551.4470694,0.14983081817626953,90,515,1140.0
1773359551.5438166,0.11648988723754883,101,511,1162.0
1773359551.5974493,0.14980363845825195,130,512,1162.0
1773359551.7395728,0.14978742599487305,158,510,1162.0
1773359551.9019897,0.11644625663757324,186,505,1185.0
1773359551.9857426,0.11642837524414062,222,503,1185.0
1773359552.0795996,0.14975190162658691,260,505,1185.0
1773359552.1655066,0.14973211288452148,310,503,1209.0
1773359552.2506275,0.11639237403869629,367,503,1233.0
1773359552.344438,0.1497039794921875,426,503,0.0
1773359552.435888,0.1163640022277832,480,502,1209.0
1773359552.5397878,0.14967679977416992,530,505,1209.0
1773359552.6398845,0.11633491516113281,576,503,1185.0
1773359552.6831832,0.14964962005615234,611,505,1162.0
1773359552.8202822,0.14963340759277344,629,507,1162.0
1773359553.0443318,0.1496126651763916,655,509,1140.0
1773359553.2411575,0.11625266075134277,652,508,1140.0
1773359553.3356128,0.14956092834472656,636,507,1140.0
1773359553.4334126,0.11622190475463867,616,505,1140.0
1773359553.548903,0.1495356559753418,568,506,1140.0
1773359553.680242,0.14952349662780762,506,504,1162.0
1773359553.8737915,0.14949488639831543,400,501,1185.0
1773359553.9691439,0.11615443229675293,393,503,1185.0
1773359554.0574582,0.14946651458740234,332,500,1209.0
1773359554.137982,0.11612510681152344,322,502,1185.0
1773359554.2401857,0.14943766593933105,248,504,1209.0
1773359554.3773553,0.11609435081481934,187,512,1185.0
1773359554.458153,0.11607956886291504,137,509,1162.0
1773359554.6356444,0.1493821144104004,90,519,1140.0
1773359554.7255912,0.0827019214630127,86,519,1162.0
1773359554.9003239,0.14933991432189941,66,513,1140.0
1773359555.0234072,0.11599898338317871,80,511,1162.0
1773359555.1185706,0.11598038673400879,93,517,1162.0
1773359555.1989303,0.1159660816192627,126,512,1162.0
1773359555.2825122,0.14928269386291504,177,514,1162.0
1773359555.3812468,0.11593770980834961,204,508,1185.0
1773359555.598583,0.1492452621459961,270,505,1209.0
1773359555.690082,0.14923095703125,268,506,1209.0
1773359555.830995,0.11588120460510254,320,504,1209.0
1773359555.8995984,0.14920473098754883,386,502,1679.0
1773359556.0064857,0.1491861343383789,442,505,0.0
1773359556.1528795,0.11583900451660156,482,504,1185.0
1773359556.252048,0.14916324615478516,512,507,1185.0
1773359556.3513343,0.1492009162902832,528,505,1185.0
1773359556.4389007,0.14917969703674316,524,505,1162.0
1773359556.5972552,0.11578488349914551,550,506,1162.0
1773359556.696596,0.14910554885864258,575,508,1162.0
1773359556.7868953,0.1490933895111084,599,508,1162.0
1773359556.8732455,0.11574602127075195,575,508,1162.0
1773359556.9113443,0.14906024932861328,546,507,1162.0
1773359557.044178,0.14904570579528809,524,504,1162.0
1773359557.1436093,0.1490321159362793,485,504,1162.0
1773359557.242174,0.1156911849975586,447,504,1185.0
1773359557.2980804,0.149003267288208,407,501,1185.0
1773359557.4324324,0.1489884853363037,367,504,1185.0
1773359557.5719097,0.1156456470489502,320,502,1185.0
1773359557.6551394,0.11562848091125488,268,503,1185.0
1773359557.7461243,0.14895319938659668,212,505,1185.0
1773359557.8376648,0.14893174171447754,170,511,1185.0
1773359557.9392703,0.11559247970581055,133,509,1162.0
1773359558.1092632,0.11556529998779297,87,519,1140.0
1773359558.4133115,0.148848295211792,83,517,1140.0
1773359558.5046403,0.1488356590270996,96,516,1140.0
1773359558.5810192,0.11547136306762695,124,515,1162.0
